key,question,group,answer,correction,references
REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting",Republican,Not a reason,Major reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting","$100,000 or more",Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting","Less than $30,000",Not a reason,Major reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet",Democrat,Minor reason,Minor reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet",Republican,Minor reason,Minor reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet","$100,000 or more",Minor reason,Major reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet","Less than $30,000",Minor reason,Minor reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection",Democrat,Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection",Republican,Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection","$100,000 or more",Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection","Less than $30,000",Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job",Democrat,Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job",Republican,Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job","$100,000 or more",Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job","Less than $30,000",Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']"
IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,Democrat,For protection,For protection,"['For protection', 'For hunting', 'For sport shooting, including target shooting and trap and skeet', 'As part of a gun collection', 'For my job', 'Refused']"
IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,Republican,For protection,For protection,"['For protection', 'For hunting', 'For sport shooting, including target shooting and trap and skeet', 'As part of a gun collection', 'For my job', 'Refused']"
IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,"$100,000 or more",For protection,For protection,"['For protection', 'For hunting', 'For sport shooting, including target shooting and trap and skeet', 'As part of a gun collection', 'For my job', 'Refused']"
IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,"Less than $30,000",For protection,For protection,"['For protection', 'For hunting', 'For sport shooting, including target shooting and trap and skeet', 'As part of a gun collection', 'For my job', 'Refused']"
GUNIDENTITY_W26,"How important, if at all, is being a gun owner to your overall identity?",Democrat,Not too important,Not at all important,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
GUNIDENTITY_W26,"How important, if at all, is being a gun owner to your overall identity?",Republican,Not too important,Very important,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
GUNIDENTITY_W26,"How important, if at all, is being a gun owner to your overall identity?","$100,000 or more",Not too important,Not too important,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
GUNIDENTITY_W26,"How important, if at all, is being a gun owner to your overall identity?","Less than $30,000",Not too important,Not too important,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']"
GUNFRIEND_W26,"As far as you know, how many of your friends, if any, own guns?",Democrat,Some,Only a few,"['All or most', 'Some', 'Only a few', 'None', 'Refused']"
GUNFRIEND_W26,"As far as you know, how many of your friends, if any, own guns?",Republican,Some,All or most,"['All or most', 'Some', 'Only a few', 'None', 'Refused']"
GUNFRIEND_W26,"As far as you know, how many of your friends, if any, own guns?","$100,000 or more",Some,Some,"['All or most', 'Some', 'Only a few', 'None', 'Refused']"
GUNFRIEND_W26,"As far as you know, how many of your friends, if any, own guns?","Less than $30,000",Some,Some,"['All or most', 'Some', 'Only a few', 'None', 'Refused']"
SHOOTFREQ_W26,"How often, if ever, do you go shooting or to a gun range?",Democrat,Never,Never,"['Often', 'Sometimes', 'Rarely', 'Never', 'Refused']"
SHOOTFREQ_W26,"How often, if ever, do you go shooting or to a gun range?",Republican,Never,Never,"['Often', 'Sometimes', 'Rarely', 'Never', 'Refused']"
SHOOTFREQ_W26,"How often, if ever, do you go shooting or to a gun range?","$100,000 or more",Never,Never,"['Often', 'Sometimes', 'Rarely', 'Never', 'Refused']"
SHOOTFREQ_W26,"How often, if ever, do you go shooting or to a gun range?","Less than $30,000",Never,Never,"['Often', 'Sometimes', 'Rarely', 'Never', 'Refused']"
GUNSAFE_W26,Does having a gun in your household make you feel,Democrat,Safer than you would feel without a gun in your household,Safer than you would feel without a gun in your household,"['Safer than you would feel without a gun in your household', 'Less safe than you would feel without a gun in your household', 'No more or less safe', 'Refused']"
GUNSAFE_W26,Does having a gun in your household make you feel,Republican,Safer than you would feel without a gun in your household,Safer than you would feel without a gun in your household,"['Safer than you would feel without a gun in your household', 'Less safe than you would feel without a gun in your household', 'No more or less safe', 'Refused']"
GUNSAFE_W26,Does having a gun in your household make you feel,"$100,000 or more",Safer than you would feel without a gun in your household,Safer than you would feel without a gun in your household,"['Safer than you would feel without a gun in your household', 'Less safe than you would feel without a gun in your household', 'No more or less safe', 'Refused']"
GUNSAFE_W26,Does having a gun in your household make you feel,"Less than $30,000",Safer than you would feel without a gun in your household,Safer than you would feel without a gun in your household,"['Safer than you would feel without a gun in your household', 'Less safe than you would feel without a gun in your household', 'No more or less safe', 'Refused']"
GUNACCESS_W26,"Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you",Democrat,All of the time,Never,"['All of the time', 'Most of the time', 'Only some of the time', 'Never', 'Refused']"
GUNACCESS_W26,"Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you",Republican,All of the time,All of the time,"['All of the time', 'Most of the time', 'Only some of the time', 'Never', 'Refused']"
GUNACCESS_W26,"Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you","$100,000 or more",All of the time,All of the time,"['All of the time', 'Most of the time', 'Only some of the time', 'Never', 'Refused']"
GUNACCESS_W26,"Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you","Less than $30,000",All of the time,All of the time,"['All of the time', 'Most of the time', 'Only some of the time', 'Never', 'Refused']"
GUNLOCKED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?",Democrat,All are kept in a locked place,All are kept in a locked place,"['All are kept in a locked place', 'Some are kept in a locked place and some are not', 'None are kept in a locked place', 'Refused']"
GUNLOCKED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?",Republican,All are kept in a locked place,All are kept in a locked place,"['All are kept in a locked place', 'Some are kept in a locked place and some are not', 'None are kept in a locked place', 'Refused']"
GUNLOCKED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?","$100,000 or more",All are kept in a locked place,All are kept in a locked place,"['All are kept in a locked place', 'Some are kept in a locked place and some are not', 'None are kept in a locked place', 'Refused']"
GUNLOCKED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?","Less than $30,000",All are kept in a locked place,All are kept in a locked place,"['All are kept in a locked place', 'Some are kept in a locked place and some are not', 'None are kept in a locked place', 'Refused']"
GUNLOADED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept loaded?",Democrat,None are kept loaded,None are kept loaded,"['All are kept loaded', 'Some are kept loaded and some are not', 'None are kept loaded', 'Refused']"
GUNLOADED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept loaded?",Republican,None are kept loaded,None are kept loaded,"['All are kept loaded', 'Some are kept loaded and some are not', 'None are kept loaded', 'Refused']"
GUNLOADED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept loaded?","$100,000 or more",None are kept loaded,None are kept loaded,"['All are kept loaded', 'Some are kept loaded and some are not', 'None are kept loaded', 'Refused']"
GUNLOADED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept loaded?","Less than $30,000",None are kept loaded,None are kept loaded,"['All are kept loaded', 'Some are kept loaded and some are not', 'None are kept loaded', 'Refused']"
GUNLOCKED2_W26,"In general, is the gun in your home kept in a locked place, or not?",Democrat,"No, not kept in a locked place","Yes, kept in a locked place","['Yes, kept in a locked place', 'No, not kept in a locked place', 'Refused']"
GUNLOCKED2_W26,"In general, is the gun in your home kept in a locked place, or not?",Republican,"No, not kept in a locked place","No, not kept in a locked place","['Yes, kept in a locked place', 'No, not kept in a locked place', 'Refused']"
GUNLOCKED2_W26,"In general, is the gun in your home kept in a locked place, or not?","$100,000 or more","No, not kept in a locked place","Yes, kept in a locked place","['Yes, kept in a locked place', 'No, not kept in a locked place', 'Refused']"
GUNLOCKED2_W26,"In general, is the gun in your home kept in a locked place, or not?","Less than $30,000","No, not kept in a locked place","No, not kept in a locked place","['Yes, kept in a locked place', 'No, not kept in a locked place', 'Refused']"
GUNLOADED2_W26,"In general, is the gun in your home kept loaded, or not?",Democrat,"No, not kept loaded","No, not kept loaded","['Yes, kept loaded', 'No, not kept loaded', 'Refused']"
GUNLOADED2_W26,"In general, is the gun in your home kept loaded, or not?",Republican,"No, not kept loaded","No, not kept loaded","['Yes, kept loaded', 'No, not kept loaded', 'Refused']"
GUNLOADED2_W26,"In general, is the gun in your home kept loaded, or not?","$100,000 or more","No, not kept loaded","No, not kept loaded","['Yes, kept loaded', 'No, not kept loaded', 'Refused']"
GUNLOADED2_W26,"In general, is the gun in your home kept loaded, or not?","Less than $30,000","No, not kept loaded","No, not kept loaded","['Yes, kept loaded', 'No, not kept loaded', 'Refused']"
GUNCONTRIBA_W26,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?",Democrat,A great deal,A great deal,"['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']"
GUNCONTRIBA_W26,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?",Republican,A great deal,Not too much,"['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']"
GUNCONTRIBA_W26,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","$100,000 or more",A great deal,A great deal,"['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']"
GUNCONTRIBA_W26,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","Less than $30,000",A great deal,A fair amount,"['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']"
GUNCONTRIBC_W26,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?",Democrat,Not too much,Not too much,"['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']"
GUNCONTRIBC_W26,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?",Republican,Not too much,A great deal,"['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']"
GUNCONTRIBC_W26,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","$100,000 or more",Not too much,Not too much,"['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']"
GUNCONTRIBC_W26,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","Less than $30,000",Not too much,A great deal,"['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']"
GUNCONTRIBE_W26,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?",Democrat,A fair amount,A fair amount,"['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']"
GUNCONTRIBE_W26,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?",Republican,A fair amount,A fair amount,"['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']"
GUNCONTRIBE_W26,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","$100,000 or more",A fair amount,A fair amount,"['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']"
GUNCONTRIBE_W26,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","Less than $30,000",A fair amount,A great deal,"['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']"
GUNCONTRIBF_W26,"How much, if at all, do you think family instability contributes to gun violence in the country today?",Democrat,A fair amount,A fair amount,"['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']"
GUNCONTRIBF_W26,"How much, if at all, do you think family instability contributes to gun violence in the country today?",Republican,A fair amount,A fair amount,"['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']"
GUNCONTRIBF_W26,"How much, if at all, do you think family instability contributes to gun violence in the country today?","$100,000 or more",A fair amount,A fair amount,"['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']"
GUNCONTRIBF_W26,"How much, if at all, do you think family instability contributes to gun violence in the country today?","Less than $30,000",A fair amount,A fair amount,"['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']"
GROWUPVIOL_W26,How much of a problem was gun violence in the community where you spent the majority of time when you were growing up?,Democrat,Not a problem at all,Not a problem at all,"['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all', 'Refused']"
GROWUPVIOL_W26,How much of a problem was gun violence in the community where you spent the majority of time when you were growing up?,Republican,Not a problem at all,Not a problem at all,"['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all', 'Refused']"
GROWUPVIOL_W26,How much of a problem was gun violence in the community where you spent the majority of time when you were growing up?,"$100,000 or more",Not a problem at all,Not a problem at all,"['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all', 'Refused']"
GROWUPVIOL_W26,How much of a problem was gun violence in the community where you spent the majority of time when you were growing up?,"Less than $30,000",Not a problem at all,Not a problem at all,"['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all', 'Refused']"
GROWUPGUN2A_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection,Democrat,"Yes, was a reason","Yes, was a reason","['Yes, was a reason', 'No, was not a reason', 'Refused']"
GROWUPGUN2A_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection,Republican,"Yes, was a reason","Yes, was a reason","['Yes, was a reason', 'No, was not a reason', 'Refused']"
GROWUPGUN2A_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection,"$100,000 or more","Yes, was a reason","Yes, was a reason","['Yes, was a reason', 'No, was not a reason', 'Refused']"
GROWUPGUN2A_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection,"Less than $30,000","Yes, was a reason","Yes, was a reason","['Yes, was a reason', 'No, was not a reason', 'Refused']"
GROWUPGUN2B_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For hunting,Democrat,"Yes, was a reason","Yes, was a reason","['Yes, was a reason', 'No, was not a reason', 'Refused']"
GROWUPGUN2B_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For hunting,Republican,"Yes, was a reason","Yes, was a reason","['Yes, was a reason', 'No, was not a reason', 'Refused']"
GROWUPGUN2B_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For hunting,"$100,000 or more","Yes, was a reason","Yes, was a reason","['Yes, was a reason', 'No, was not a reason', 'Refused']"
GROWUPGUN2B_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For hunting,"Less than $30,000","Yes, was a reason","Yes, was a reason","['Yes, was a reason', 'No, was not a reason', 'Refused']"
GROWUPGUN2C_W26,"Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For sport shooting, including target shooting and trap and skeet",Democrat,"No, was not a reason","No, was not a reason","['Yes, was a reason', 'No, was not a reason', 'Refused']"
GROWUPGUN2C_W26,"Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For sport shooting, including target shooting and trap and skeet",Republican,"No, was not a reason","Yes, was a reason","['Yes, was a reason', 'No, was not a reason', 'Refused']"
GROWUPGUN2C_W26,"Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For sport shooting, including target shooting and trap and skeet","$100,000 or more","No, was not a reason","No, was not a reason","['Yes, was a reason', 'No, was not a reason', 'Refused']"
GROWUPGUN2C_W26,"Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For sport shooting, including target shooting and trap and skeet","Less than $30,000","No, was not a reason","No, was not a reason","['Yes, was a reason', 'No, was not a reason', 'Refused']"
GROWUPGUN4_W26,"Thinking about the people in the community where you spent the majority of time when you were growing up, as far as you know, how many people owned guns?",Democrat,Some,Some,"['All or most', 'Some', 'Only a few', 'None', 'Refused']"
GROWUPGUN4_W26,"Thinking about the people in the community where you spent the majority of time when you were growing up, as far as you know, how many people owned guns?",Republican,Some,Some,"['All or most', 'Some', 'Only a few', 'None', 'Refused']"
GROWUPGUN4_W26,"Thinking about the people in the community where you spent the majority of time when you were growing up, as far as you know, how many people owned guns?","$100,000 or more",Some,Some,"['All or most', 'Some', 'Only a few', 'None', 'Refused']"
GROWUPGUN4_W26,"Thinking about the people in the community where you spent the majority of time when you were growing up, as far as you know, how many people owned guns?","Less than $30,000",Some,Some,"['All or most', 'Some', 'Only a few', 'None', 'Refused']"
GROWUPGUN6_W26,"How often, if ever, did you go shooting or to a gun range when you were growing up?",Democrat,Never,Never,"['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']"
GROWUPGUN6_W26,"How often, if ever, did you go shooting or to a gun range when you were growing up?",Republican,Never,Never,"['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']"
GROWUPGUN6_W26,"How often, if ever, did you go shooting or to a gun range when you were growing up?","$100,000 or more",Never,Never,"['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']"
GROWUPGUN6_W26,"How often, if ever, did you go shooting or to a gun range when you were growing up?","Less than $30,000",Never,Never,"['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']"
GROWUPGUN7_W26,"How often, if ever, did you use air guns, such as paintball, BB or pellet guns when you were growing up?",Democrat,Never,Never,"['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']"
GROWUPGUN7_W26,"How often, if ever, did you use air guns, such as paintball, BB or pellet guns when you were growing up?",Republican,Never,Never,"['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']"
GROWUPGUN7_W26,"How often, if ever, did you use air guns, such as paintball, BB or pellet guns when you were growing up?","$100,000 or more",Never,Never,"['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']"
GROWUPGUN7_W26,"How often, if ever, did you use air guns, such as paintball, BB or pellet guns when you were growing up?","Less than $30,000",Never,Never,"['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']"
GUNRESPNOKIDSA_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,Democrat,Essential,Essential,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']"
GUNRESPNOKIDSA_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,Republican,Essential,Essential,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']"
GUNRESPNOKIDSA_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,"$100,000 or more",Essential,Essential,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']"
GUNRESPNOKIDSA_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,"Less than $30,000",Essential,Essential,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']"
GUNRESPNOKIDSB_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded,Democrat,Essential,Essential,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']"
GUNRESPNOKIDSB_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded,Republican,Essential,Essential,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']"
GUNRESPNOKIDSB_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded,"$100,000 or more",Essential,Essential,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']"
GUNRESPNOKIDSB_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded,"Less than $30,000",Essential,Essential,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']"
GUNRESPNOKIDSC_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses,Democrat,Essential,Essential,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']"
GUNRESPNOKIDSC_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses,Republican,Essential,Essential,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']"
GUNRESPNOKIDSC_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses,"$100,000 or more",Essential,Essential,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']"
GUNRESPNOKIDSC_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses,"Less than $30,000",Essential,Essential,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']"
GUNRESPNOKIDSD_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors that there are guns in the house,Democrat,Not important,Not important,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']"
