key,question,group,answer,correction
WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting",Republican,"I believe in being vigilant and prepared, but I do not dwell on this specific possibility.","I believe in being vigilant and prepared, but I do not dwell on this specific possibility."
WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting","$100,000 or more","I do not dwell on the fear of being a victim of a mass shooting, as I believe in focusing on the present and taking necessary precautions.","I do not dwell on the fear of being a victim of a mass shooting, as I believe in focusing on the present and taking necessary precautions."
WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting","Less than $30,000","I try not to dwell on the possibility of being the victim of a mass shooting, but it does cross my mind occasionally and it's unsettling.","I try not to dwell on the possibility of being the victim of a mass shooting, but it does cross my mind occasionally and it's unsettling."
GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,Democrat,"Yes, I currently own a shotgun for recreational shooting and home defense purposes","No, I have never personally owned a shotgun but support responsible gun ownership"
GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,Republican,"Yes, I currently own a shotgun for hunting and home defense purposes","Yes, I currently own a shotgun for hunting and home defense purposes"
GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,"$100,000 or more","Yes, I currently own a shotgun for recreational shooting and home defense purposes","Yes, I currently own a shotgun for recreational shooting and home defense purposes"
GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,"Less than $30,000","Yes, I currently own a shotgun for hunting and home defense purposes","No, I have never owned a shotgun due to financial constraints and personal preferences"
REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection",Democrat,"Major reason - I prioritize the safety and security of myself and my loved ones above all else, and owning a gun for protection is a significant aspect of that commitment.","Major reason - I prioritize the safety and security of myself and my loved ones above all else, and owning a gun for protection is a significant aspect of that commitment."
REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection",Republican,Essential for safeguarding my family and property,Essential for safeguarding my family and property
REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection","$100,000 or more","Major reason: Ensuring the safety of my family and property is a top priority for me, and owning a gun provides a sense of security in case of potential threats.","Major reason: Ensuring the safety of my family and property is a top priority for me, and owning a gun provides a sense of security in case of potential threats."
REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection","Less than $30,000",Critical for self-defense in a high-crime area where law enforcement response time is slow or unreliable.,Critical for self-defense in a high-crime area where law enforcement response time is slow or unreliable.
REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting",Democrat,Not a reason - Hunting does not play a role in my decision to own a gun; I primarily own a gun for self-defense or sport shooting purposes.,Not a reason - Hunting does not play a role in my decision to own a gun; I primarily own a gun for self-defense or sport shooting purposes.
REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting",Republican,"Not a reason - I do not own a gun for hunting purposes, as I primarily use it for self-defense and protection of my property.","Major reason - Hunting is a long-standing tradition in my family, and it's a way for us to bond and connect with nature."
REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting","$100,000 or more","I do not hunt, so owning a gun for hunting is not a reason for me.","I do not hunt, so owning a gun for hunting is not a reason for me."
REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting","Less than $30,000","I do not own a gun for hunting purposes, but for other personal reasons.",Hunting is a crucial part of providing food for my family during hunting season.
REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet",Democrat,Engaging in a traditional American pastime that has been a part of my family for generations,Engaging in a traditional American pastime that has been a part of my family for generations
REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet",Republican,A way to bond with family and friends during outdoor activities,A way to bond with family and friends during outdoor activities
REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet","$100,000 or more",I enjoy participating in shooting competitions and honing my skills in different disciplines.,Sport shooting is a significant hobby of mine and brings me great joy and satisfaction.
REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet","Less than $30,000","Minor reason: While sport shooting is not the primary reason I own a gun, it does play a small role in my decision as it provides me with a sense of camaraderie and community when participating in shooting events.","Minor reason: While sport shooting is not the primary reason I own a gun, it does play a small role in my decision as it provides me with a sense of camaraderie and community when participating in shooting events."
REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection",Democrat,A means of protection for myself and my loved ones,A means of protection for myself and my loved ones
REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection",Republican,Not a reason: Using guns for violence or malicious intent,Not a reason: Using guns for violence or malicious intent
REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection","$100,000 or more","As a collector, owning guns helps me connect with other enthusiasts and participate in gun-related events and activities.","As a collector, owning guns helps me connect with other enthusiasts and participate in gun-related events and activities."
REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection","Less than $30,000","Not just a hobby, but a passion for firearms, their mechanics, history, and craftsmanship.","Not just a hobby, but a passion for firearms, their mechanics, history, and craftsmanship."
REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job",Democrat,Not a reason - My decision to own a gun is not influenced by my job. I view gun ownership as a personal choice separate from professional obligations.,Not a reason - My decision to own a gun is not influenced by my job. I view gun ownership as a personal choice separate from professional obligations.
REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job",Republican,Not a reason - My job does not involve any tasks or responsibilities that necessitate owning a gun for protection or security purposes.,Not a reason - My job does not involve any tasks or responsibilities that necessitate owning a gun for protection or security purposes.
REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job","$100,000 or more","Not a reason: My job does not require me to own a gun, so it is not a factor in my decision to possess a firearm.","Not a reason: My job does not require me to own a gun, so it is not a factor in my decision to possess a firearm."
REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job","Less than $30,000",Not a reason: My job does not involve any tasks or responsibilities that necessitate owning a gun.,Not a reason: My job does not involve any tasks or responsibilities that necessitate owning a gun.
IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,Democrat,For personal safety and protection in case of emergencies or threats,For personal safety and protection in case of emergencies or threats
IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,Republican,For protecting my family and property against potential threats,For protecting my family and property against potential threats
IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,"$100,000 or more",For protection of my family and property in case of emergencies or threats,For protection of my family and property in case of emergencies or threats
IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,"Less than $30,000",For protection of my family and home in case of emergencies or break-ins,For protection of my family and home in case of emergencies or break-ins
GUNIDENTITY_W26,"How important, if at all, is being a gun owner to your overall identity?",Democrat,"My identity is not heavily tied to being a gun owner, but I value the right to bear arms.",Being a gun owner does not play a significant role in defining who I am as a person.
GUNIDENTITY_W26,"How important, if at all, is being a gun owner to your overall identity?",Republican,"While not the sole focus of my identity, being a gun owner reflects my commitment to personal freedom and self-defense.","Being a gun owner is a core part of my heritage and values, symbolizing self-reliance and protection."
GUNIDENTITY_W26,"How important, if at all, is being a gun owner to your overall identity?","$100,000 or more","While I may own a gun, it does not play a major role in shaping my overall identity.","While I may own a gun, it does not play a major role in shaping my overall identity."
GUNIDENTITY_W26,"How important, if at all, is being a gun owner to your overall identity?","Less than $30,000",Having a gun doesn't play a major role in defining who I am.,Having a gun doesn't play a major role in defining who I am.
GUNFRIEND_W26,"As far as you know, how many of your friends, if any, own guns?",Democrat,A significant portion,Just a couple
GUNFRIEND_W26,"As far as you know, how many of your friends, if any, own guns?",Republican,Some of my friends enjoy hunting or shooting sports and own guns for recreational purposes.,All or most of my friends are responsible gun owners who value their Second Amendment rights and prioritize safety.
GUNFRIEND_W26,"As far as you know, how many of your friends, if any, own guns?","$100,000 or more","Some of my friends own guns, but it's not a common topic of discussion among us.","Some of my friends own guns, but it's not a common topic of discussion among us."
GUNFRIEND_W26,"As far as you know, how many of your friends, if any, own guns?","Less than $30,000","Some of my friends own guns, and it's a topic that comes up occasionally in our interactions.","Some of my friends own guns, and it's a topic that comes up occasionally in our interactions."
SHOOTFREQ_W26,"How often, if ever, do you go shooting or to a gun range?",Democrat,I never go shooting or to a gun range due to personal beliefs or lack of interest in firearms.,I never go shooting or to a gun range due to personal beliefs or lack of interest in firearms.
SHOOTFREQ_W26,"How often, if ever, do you go shooting or to a gun range?",Republican,Rarely find time to go shooting due to other commitments and responsibilities,Rarely find time to go shooting due to other commitments and responsibilities
SHOOTFREQ_W26,"How often, if ever, do you go shooting or to a gun range?","$100,000 or more","I have never been to a shooting range or engaged in shooting activities, either due to personal preference or lack of interest.","I have never been to a shooting range or engaged in shooting activities, either due to personal preference or lack of interest."
SHOOTFREQ_W26,"How often, if ever, do you go shooting or to a gun range?","Less than $30,000","I have never been shooting or to a gun range before, as it's not something that interests me or fits into my lifestyle.","I have never been shooting or to a gun range before, as it's not something that interests me or fits into my lifestyle."
GUNSAFE_W26,Does having a gun in your household make you feel,Democrat,"I feel more vulnerable with a gun in my household, as I worry about the potential for accidents or misuse","I feel more vulnerable with a gun in my household, as I worry about the potential for accidents or misuse"
GUNSAFE_W26,Does having a gun in your household make you feel,Republican,I feel empowered and prepared to protect myself and my loved ones,I feel empowered and prepared to protect myself and my loved ones
GUNSAFE_W26,Does having a gun in your household make you feel,"$100,000 or more",I feel more secure knowing that I have the means to protect my family and property if the need arises.,I feel more secure knowing that I have the means to protect my family and property if the need arises.
GUNSAFE_W26,Does having a gun in your household make you feel,"Less than $30,000","I worry about the risks of having a gun at home, especially with children around","I worry about the risks of having a gun at home, especially with children around"
GUNACCESS_W26,"Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you",Democrat,"Yes, I have a loaded and easily accessible gun at home for self-defense purposes and personal safety.",I do not have any guns at home for personal reasons and safety concerns.
GUNACCESS_W26,"Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you",Republican,"Yes, I have a loaded and easily accessible gun for personal protection and home defense.","Yes, I have a loaded and easily accessible gun for personal protection and home defense."
GUNACCESS_W26,"Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you","$100,000 or more","Yes, there is a loaded and easily accessible gun in my home, and I prioritize safety measures around it.","Yes, there is a loaded and easily accessible gun in my home, and I prioritize safety measures around it."
GUNACCESS_W26,"Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you","Less than $30,000","There is always a loaded gun within reach at home, which makes me anxious about accidental harm or misuse.","There is always a loaded gun within reach at home, which makes me anxious about accidental harm or misuse."
GUNLOCKED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?",Democrat,"All firearms in my home are securely stored in a locked place, ensuring safety and responsible gun ownership.","All firearms in my home are securely stored in a locked place, ensuring safety and responsible gun ownership."
GUNLOCKED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?",Republican,"All firearms are securely stored in a locked safe or cabinet, ensuring responsible gun ownership and preventing unauthorized access","All firearms are securely stored in a locked safe or cabinet, ensuring responsible gun ownership and preventing unauthorized access"
GUNLOCKED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?","$100,000 or more",All firearms in my home are securely locked in a safe or gun cabinet to prevent unauthorized access and ensure safety.,All firearms in my home are securely locked in a safe or gun cabinet to prevent unauthorized access and ensure safety.
GUNLOCKED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?","Less than $30,000","All guns in my home are kept in a locked place, ensuring safety and security for my family and others","All guns in my home are kept in a locked place, ensuring safety and security for my family and others"
GUNLOADED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept loaded?",Democrat,I do not keep any of my guns loaded to prevent any accidents or unauthorized use,I do not keep any of my guns loaded to prevent any accidents or unauthorized use
GUNLOADED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept loaded?",Republican,I adhere to strict safety measures and keep all guns in my home unloaded to prevent accidents or unauthorized use.,I adhere to strict safety measures and keep all guns in my home unloaded to prevent accidents or unauthorized use.
GUNLOADED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept loaded?","$100,000 or more",I take firearm safety seriously and make sure that none of the guns in my home are kept loaded.,I take firearm safety seriously and make sure that none of the guns in my home are kept loaded.
GUNLOADED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept loaded?","Less than $30,000","I am cautious about keeping any guns loaded in my home, so I ensure they are always unloaded.","I am cautious about keeping any guns loaded in my home, so I ensure they are always unloaded."
GUNLOCKED2_W26,"In general, is the gun in your home kept in a locked place, or not?",Democrat,"No, the gun in my home is not kept in a locked place as I believe in easy access for self-defense purposes","Yes, the gun in my home is kept in a locked place to ensure safety and prevent accidents"
GUNLOCKED2_W26,"In general, is the gun in your home kept in a locked place, or not?",Republican,"No, the gun in my home is not kept in a locked place but is stored in a different secure manner that is easily accessible for self-defense purposes","No, the gun in my home is not kept in a locked place but is stored in a different secure manner that is easily accessible for self-defense purposes"
GUNLOCKED2_W26,"In general, is the gun in your home kept in a locked place, or not?","$100,000 or more","No, the gun in my home is not kept in a locked place, which concerns me due to the potential risks associated with easy access to firearms.","Yes, the gun in my home is kept in a locked place to ensure safety and prevent unauthorized access."
GUNLOCKED2_W26,"In general, is the gun in your home kept in a locked place, or not?","Less than $30,000","No, the gun in my home is not kept in a locked place, which concerns me due to the potential risks it poses in terms of safety and security","No, the gun in my home is not kept in a locked place, which concerns me due to the potential risks it poses in terms of safety and security"
GUNLOADED2_W26,"In general, is the gun in your home kept loaded, or not?",Democrat,"No, not kept loaded to prevent accidents or unauthorized use","No, not kept loaded to prevent accidents or unauthorized use"
GUNLOADED2_W26,"In general, is the gun in your home kept loaded, or not?",Republican,"No, not kept loaded but easily accessible for emergencies","No, not kept loaded but easily accessible for emergencies"
GUNLOADED2_W26,"In general, is the gun in your home kept loaded, or not?","$100,000 or more","No, the gun in my home is not kept loaded as I prioritize safety and have young children in the house.","No, the gun in my home is not kept loaded as I prioritize safety and have young children in the house."
GUNLOADED2_W26,"In general, is the gun in your home kept loaded, or not?","Less than $30,000","No, it's not kept loaded to prevent accidents or unauthorized use","No, it's not kept loaded to prevent accidents or unauthorized use"
GUNCONTRIBA_W26,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?",Democrat,The current ease of obtaining guns significantly exacerbates the gun violence crisis in our country and requires urgent attention.,The current ease of obtaining guns significantly exacerbates the gun violence crisis in our country and requires urgent attention.
GUNCONTRIBA_W26,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?",Republican,I believe the ease of obtaining guns significantly fuels gun violence and should be addressed with stricter regulations.,"While not the sole cause, the leniency in acquiring firearms does play a significant role in the prevalence of gun-related crimes."
GUNCONTRIBA_W26,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","$100,000 or more",I strongly believe that the ease of legally obtaining guns significantly contributes to gun violence in our country today.,I strongly believe that the ease of legally obtaining guns significantly contributes to gun violence in our country today.
GUNCONTRIBA_W26,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","Less than $30,000",I believe it plays a significant role in contributing to gun violence in our country today.,I think it has a noticeable impact on the level of gun violence we see.
GUNCONTRIBC_W26,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?",Democrat,I believe there is a minimal connection between the depiction of gun violence in media and actual gun violence in the country.,I believe there is a minimal connection between the depiction of gun violence in media and actual gun violence in the country.
GUNCONTRIBC_W26,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?",Republican,I believe the depiction of gun violence in media has a minimal effect on real-world gun violence.,I believe there is a significant correlation between the portrayal of gun violence in media and its impact on real-life gun violence.
GUNCONTRIBC_W26,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","$100,000 or more",I consider the impact of gun violence in media to be relatively minimal when compared to other contributing factors.,I consider the impact of gun violence in media to be relatively minimal when compared to other contributing factors.
GUNCONTRIBC_W26,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","Less than $30,000",I don't believe it has a major impact compared to other issues like access to firearms and mental health.,I believe it plays a significant role in shaping attitudes towards guns and violence in society.
GUNCONTRIBE_W26,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?",Democrat,I think the real focus should be on implementing effective gun control measures and addressing mental health issues.,I think the real focus should be on implementing effective gun control measures and addressing mental health issues.
GUNCONTRIBE_W26,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?",Republican,I think there is a moderate connection between gun violence in video games and the current state of gun violence in the country.,I think there is a moderate connection between gun violence in video games and the current state of gun violence in the country.
GUNCONTRIBE_W26,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","$100,000 or more",I think the influence of gun violence in video games on real-life gun violence is limited and overshadowed by other societal factors.,I think the influence of gun violence in video games on real-life gun violence is limited and overshadowed by other societal factors.
GUNCONTRIBE_W26,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","Less than $30,000",I think the influence of gun violence in video games on real-life gun violence is minimal compared to other contributing factors.,"I believe there may be a correlation between gun violence in video games and real-life gun violence, but it is not the primary factor."
GUNCONTRIBF_W26,"How much, if at all, do you think family instability contributes to gun violence in the country today?",Democrat,Family dynamics have a noticeable impact on the prevalence of gun violence in our society.,Family dynamics have a noticeable impact on the prevalence of gun violence in our society.
GUNCONTRIBF_W26,"How much, if at all, do you think family instability contributes to gun violence in the country today?",Republican,Family dynamics play a notable role in shaping individuals' behaviors and can contribute to the occurrence of gun violence.,Family dynamics play a notable role in shaping individuals' behaviors and can contribute to the occurrence of gun violence.
GUNCONTRIBF_W26,"How much, if at all, do you think family instability contributes to gun violence in the country today?","$100,000 or more",Family instability plays a notable role in exacerbating gun violence by impacting the emotional well-being and stability of individuals.,Family instability plays a notable role in exacerbating gun violence by impacting the emotional well-being and stability of individuals.
GUNCONTRIBF_W26,"How much, if at all, do you think family instability contributes to gun violence in the country today?","Less than $30,000","There is a noticeable connection between family instability and the prevalence of gun violence, which cannot be ignored.","There is a noticeable connection between family instability and the prevalence of gun violence, which cannot be ignored."
GROWUPVIOL_W26,How much of a problem was gun violence in the community where you spent the majority of time when you were growing up?,Democrat,An ever-present threat that shaped my understanding of safety and security,An ever-present threat that shaped my understanding of safety and security
GROWUPVIOL_W26,How much of a problem was gun violence in the community where you spent the majority of time when you were growing up?,Republican,Not a significant issue that had little to no impact on daily life or sense of safety,Not a significant issue that had little to no impact on daily life or sense of safety
GROWUPVIOL_W26,How much of a problem was gun violence in the community where you spent the majority of time when you were growing up?,"$100,000 or more",Gun violence was virtually non-existent and never posed a threat in the area where I grew up.,Gun violence was virtually non-existent and never posed a threat in the area where I grew up.
GROWUPVIOL_W26,How much of a problem was gun violence in the community where you spent the majority of time when you were growing up?,"Less than $30,000",Gun violence was rarely if ever a noticeable problem in the area where I grew up.,Gun violence was rarely if ever a noticeable problem in the area where I grew up.
GROWUPGUN2A_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection,Democrat,"Yes, having guns for protection was seen as a necessary measure to ensure safety and security in our home.","Yes, having guns for protection was seen as a necessary measure to ensure safety and security in our home."
GROWUPGUN2A_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection,Republican,"Yes, ensuring safety in a potentially dangerous neighborhood was a priority for my family.","Yes, ensuring safety in a potentially dangerous neighborhood was a priority for my family."
GROWUPGUN2A_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection,"$100,000 or more","Yes, having guns for protection was a common practice in my family and was seen as necessary for our safety.","Yes, having guns for protection was a common practice in my family and was seen as necessary for our safety."
GROWUPGUN2A_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection,"Less than $30,000","Yes, having guns for protection was a reason because my family lived in a high-crime area and we felt the need to protect ourselves and our home.","Yes, having guns for protection was a reason because my family lived in a high-crime area and we felt the need to protect ourselves and our home."
GROWUPGUN2B_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For hunting,Democrat,"Yes, hunting is a traditional activity in my family and part of our culture","Yes, hunting is a traditional activity in my family and part of our culture"
GROWUPGUN2B_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For hunting,Republican,"Yes, hunting was a cherished family tradition and a way to bond with my relatives in the great outdoors.","Yes, hunting was a cherished family tradition and a way to bond with my relatives in the great outdoors."
GROWUPGUN2B_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For hunting,"$100,000 or more","Yes, my family used guns for hunting as a way to bond and enjoy the outdoors together.","Yes, my family used guns for hunting as a way to bond and enjoy the outdoors together."
GROWUPGUN2B_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For hunting,"Less than $30,000","Yes, hunting was a tradition in my family and guns were necessary for that purpose.","Yes, hunting was a tradition in my family and guns were necessary for that purpose."
GROWUPGUN2C_W26,"Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For sport shooting, including target shooting and trap and skeet",Democrat,"No, my household did not have guns primarily for sport shooting purposes, but rather for personal protection or hunting.","No, my household did not have guns primarily for sport shooting purposes, but rather for personal protection or hunting."
GROWUPGUN2C_W26,"Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For sport shooting, including target shooting and trap and skeet",Republican,"No, my family did not engage in sport shooting and preferred other recreational activities for bonding and relaxation.","Yes, I grew up in a family that valued outdoor activities and marksmanship as a way to bond and enjoy the great outdoors."
GROWUPGUN2C_W26,"Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For sport shooting, including target shooting and trap and skeet","$100,000 or more","No, my family did not engage in sport shooting activities, we had guns for other reasons such as hunting or self-defense.","No, my family did not engage in sport shooting activities, we had guns for other reasons such as hunting or self-defense."
GROWUPGUN2C_W26,"Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For sport shooting, including target shooting and trap and skeet","Less than $30,000","No, guns were not a reason as we couldn't afford recreational activities like sport shooting due to financial constraints.","No, guns were not a reason as we couldn't afford recreational activities like sport shooting due to financial constraints."
GROWUPGUN4_W26,"Thinking about the people in the community where you spent the majority of time when you were growing up, as far as you know, how many people owned guns?",Democrat,"Some individuals in my community owned guns, but it wasn't a prevalent feature of everyday life.","Some individuals in my community owned guns, but it wasn't a prevalent feature of everyday life."
GROWUPGUN4_W26,"Thinking about the people in the community where you spent the majority of time when you were growing up, as far as you know, how many people owned guns?",Republican,"Some families owned guns for hunting or self-defense, but it wasn't a prevalent feature in the community's daily life","Some families owned guns for hunting or self-defense, but it wasn't a prevalent feature in the community's daily life"
GROWUPGUN4_W26,"Thinking about the people in the community where you spent the majority of time when you were growing up, as far as you know, how many people owned guns?","$100,000 or more","Some families in my community owned guns, but it wasn't a prevalent or regular occurrence.","Some families in my community owned guns, but it wasn't a prevalent or regular occurrence."
GROWUPGUN4_W26,"Thinking about the people in the community where you spent the majority of time when you were growing up, as far as you know, how many people owned guns?","Less than $30,000","There were definitely a good number of people who owned guns in the community, but it wasn't the majority.","There were definitely a good number of people who owned guns in the community, but it wasn't the majority."
GROWUPGUN6_W26,"How often, if ever, did you go shooting or to a gun range when you were growing up?",Democrat,"Never, as my family did not own guns or participate in shooting sports","Never, as my family did not own guns or participate in shooting sports"
GROWUPGUN6_W26,"How often, if ever, did you go shooting or to a gun range when you were growing up?",Republican,"Never had the opportunity, it wasn't a part of my upbringing","Never had the opportunity, it wasn't a part of my upbringing"
GROWUPGUN6_W26,"How often, if ever, did you go shooting or to a gun range when you were growing up?","$100,000 or more","Never, it was not a common practice in my family","Never, it was not a common practice in my family"
GROWUPGUN6_W26,"How often, if ever, did you go shooting or to a gun range when you were growing up?","Less than $30,000",I had limited exposure to shooting due to lack of access or interest,I had limited exposure to shooting due to lack of access or interest
GROWUPGUN7_W26,"How often, if ever, did you use air guns, such as paintball, BB or pellet guns when you were growing up?",Democrat,Never had exposure to air guns growing up,Never had exposure to air guns growing up
GROWUPGUN7_W26,"How often, if ever, did you use air guns, such as paintball, BB or pellet guns when you were growing up?",Republican,Never used air guns growing up due to personal preferences or safety concerns,Never used air guns growing up due to personal preferences or safety concerns
