key,question,group,answer,correction,references,openai,openai_answer,openai_correction
WORRYE_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime","$100,000 or more",Worry a little,Worry a little,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']","[""I am constantly vigilant and take extra precautions to ensure my safety and the safety of my family."", 
""I have some concerns about my safety in certain situations, but I try not to let it consume me."", 
""I feel relatively secure in my surroundings and trust in the measures I have in place for protection."", 
""I prefer not to disclose my level of worry about this matter.""]","I have some concerns about my safety in certain situations, but I try not to let it consume me.","I have some concerns about my safety in certain situations, but I try not to let it consume me."
WORRYE_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime","Less than $30,000",Worry a little,Worry a little,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']","[""I worry constantly about being the victim of a violent crime, it's always on my mind and affects my daily life."",
""I have concerns about being the victim of a violent crime, but try to not let it consume me."",
""I try not to dwell on the possibility of being a victim of a violent crime, but it still crosses my mind occasionally."",
""I prefer not to answer this question.""]","I have concerns about being the victim of a violent crime, but try to not let it consume me.","I have concerns about being the victim of a violent crime, but try to not let it consume me."
WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting",Democrat,Do not worry at all,Worry a little,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']","[""I am deeply concerned about the increasing frequency of mass shootings and the lack of meaningful gun control measures in place."",
""I have a lingering worry in the back of my mind about the possibility of being caught in a mass shooting incident."",
""I feel fortunate that I have not personally experienced a mass shooting, but I am aware of the risks and potential dangers."",
""I choose not to engage with this question as it evokes too much fear and anxiety.""]","I feel fortunate that I have not personally experienced a mass shooting, but I am aware of the risks and potential dangers.",I have a lingering worry in the back of my mind about the possibility of being caught in a mass shooting incident.
WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting",Republican,Do not worry at all,Do not worry at all,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']","['Given the increasing frequency of mass shootings in recent years, this is a significant concern for me.', 'I am aware of the risks but try not to let fear dictate my daily life.', 'I believe in being vigilant and prepared, but I do not dwell on this specific possibility.', 'I prefer not to answer this question as it is a sensitive topic for me.']","I believe in being vigilant and prepared, but I do not dwell on this specific possibility.","I believe in being vigilant and prepared, but I do not dwell on this specific possibility."
WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting","$100,000 or more",Do not worry at all,Do not worry at all,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']","[""I am deeply concerned about the possibility of being a victim of a mass shooting and it is a constant worry on my mind."",
""I have some level of concern about the potential of being involved in a mass shooting, but it doesn't consume my thoughts completely."",
""I do not dwell on the fear of being a victim of a mass shooting, as I believe in focusing on the present and taking necessary precautions."",
""I prefer not to answer this question as it is a sensitive topic for me.""]","I do not dwell on the fear of being a victim of a mass shooting, as I believe in focusing on the present and taking necessary precautions.","I do not dwell on the fear of being a victim of a mass shooting, as I believe in focusing on the present and taking necessary precautions."
WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting","Less than $30,000",Do not worry at all,Do not worry at all,"['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']","[""I worry constantly about being the victim of a mass shooting, it's always in the back of my mind and I fear for my safety."",
""I have some concerns about being the victim of a mass shooting, especially when I see news reports about such incidents."",
""I try not to dwell on the possibility of being the victim of a mass shooting, but it does cross my mind occasionally and it's unsettling."",
""I prefer not to answer this question as it brings up difficult emotions and fears.""]","I try not to dwell on the possibility of being the victim of a mass shooting, but it does cross my mind occasionally and it's unsettling.","I try not to dwell on the possibility of being the victim of a mass shooting, but it does cross my mind occasionally and it's unsettling."
GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,Democrat,"Yes, I currently own","No, I have never owned","['Yes, I currently own', 'Yes, I have owned in the past but do not currently own', 'No, I have never owned', 'Refused']","[""Yes, I currently own a shotgun for recreational shooting and home defense purposes"", 
""Yes, I have owned a shotgun in the past for hunting but do not currently own one"", 
""No, I have never personally owned a shotgun but support responsible gun ownership"", 
""I choose not to disclose my ownership status for privacy reasons""]","Yes, I currently own a shotgun for recreational shooting and home defense purposes","No, I have never personally owned a shotgun but support responsible gun ownership"
GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,Republican,"Yes, I currently own","Yes, I currently own","['Yes, I currently own', 'Yes, I have owned in the past but do not currently own', 'No, I have never owned', 'Refused']","[""Yes, I currently own a shotgun for hunting and home defense purposes"", ""Yes, I have owned shotguns in the past for recreational shooting and sport"", ""No, I have never personally owned a shotgun but support Second Amendment rights"", ""Refused to disclose ownership status for privacy reasons""]","Yes, I currently own a shotgun for hunting and home defense purposes","Yes, I currently own a shotgun for hunting and home defense purposes"
GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,"$100,000 or more","Yes, I currently own","Yes, I currently own","['Yes, I currently own', 'Yes, I have owned in the past but do not currently own', 'No, I have never owned', 'Refused']","[""Yes, I currently own a shotgun for recreational shooting and home defense purposes"", ""Yes, I have owned shotguns in the past for hunting and sport shooting but do not currently own one"", ""No, I have never personally owned a shotgun but have experience using them in controlled environments like shooting ranges"", ""Refused to answer due to privacy concerns and personal beliefs regarding firearm ownership""]","Yes, I currently own a shotgun for recreational shooting and home defense purposes","Yes, I currently own a shotgun for recreational shooting and home defense purposes"
GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,"Less than $30,000","Yes, I currently own","No, I have never owned","['Yes, I currently own', 'Yes, I have owned in the past but do not currently own', 'No, I have never owned', 'Refused']","[""Yes, I currently own a shotgun for hunting and home defense purposes"", ""Yes, I have owned a shotgun in the past for recreational shooting but no longer have it"", ""No, I have never owned a shotgun due to financial constraints and personal preferences"", ""I prefer not to disclose my ownership status for privacy reasons""]","Yes, I currently own a shotgun for hunting and home defense purposes","No, I have never owned a shotgun due to financial constraints and personal preferences"
REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection",Democrat,Major reason,Major reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""Major reason - I prioritize the safety and security of myself and my loved ones above all else, and owning a gun for protection is a significant aspect of that commitment."",
""Minor reason - While protection is important to me, there are also other factors that contribute to my decision to own a gun, such as recreational shooting or collecting firearms."",
""Not a reason - Protection is not a primary factor in why I own a gun; instead, I may have obtained it for hunting, sport shooting, or as a family heirloom."",
""Refused - I prefer not to disclose my reasons for owning a gun at this time.""]","Major reason - I prioritize the safety and security of myself and my loved ones above all else, and owning a gun for protection is a significant aspect of that commitment.","Major reason - I prioritize the safety and security of myself and my loved ones above all else, and owning a gun for protection is a significant aspect of that commitment."
REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection",Republican,Major reason,Major reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""Essential for safeguarding my family and property"", ""Provides peace of mind in uncertain times"", ""Part of my right to self-defense and personal liberty"", ""Decline to answer""]",Essential for safeguarding my family and property,Essential for safeguarding my family and property
REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection","$100,000 or more",Major reason,Major reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""Major reason: Ensuring the safety of my family and property is a top priority for me, and owning a gun provides a sense of security in case of potential threats."",
""Minor reason: While protection is important, I also enjoy recreational shooting or hunting as a secondary reason for owning a gun."",
""Not a reason: I own a gun for protection, but it's not the primary purpose - I mainly use it for sports shooting or collecting firearms."",
""Refused: I prefer not to disclose my reasons for owning a gun.""]","Major reason: Ensuring the safety of my family and property is a top priority for me, and owning a gun provides a sense of security in case of potential threats.","Major reason: Ensuring the safety of my family and property is a top priority for me, and owning a gun provides a sense of security in case of potential threats."
REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection","Less than $30,000",Major reason,Major reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""Critical for self-defense in a high-crime area where law enforcement response time is slow or unreliable."", ""Provides a sense of security and peace of mind especially as a single parent with young children at home."", ""A necessary precaution due to past experiences with break-ins or threats in my neighborhood."", ""Unwilling to disclose personal reasons for owning a gun.""]",Critical for self-defense in a high-crime area where law enforcement response time is slow or unreliable.,Critical for self-defense in a high-crime area where law enforcement response time is slow or unreliable.
REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting",Democrat,Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""Major reason - I enjoy hunting as a recreational activity and a way to connect with nature and provide food for my family."", 
""Minor reason - While hunting is not the primary reason I own a gun, it is a factor that adds to my overall enjoyment and use of firearms."", 
""Not a reason - Hunting does not play a role in my decision to own a gun; I primarily own a gun for self-defense or sport shooting purposes."", 
""Refused - I prefer not to disclose my reasons for owning a gun.""]",Not a reason - Hunting does not play a role in my decision to own a gun; I primarily own a gun for self-defense or sport shooting purposes.,Not a reason - Hunting does not play a role in my decision to own a gun; I primarily own a gun for self-defense or sport shooting purposes.
REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting",Republican,Not a reason,Major reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""Major reason - Hunting is a long-standing tradition in my family, and it's a way for us to bond and connect with nature."", 
""Minor reason - While hunting is not the primary reason I own a gun, it does provide me with a sense of self-sufficiency and the ability to provide food for my family."", 
""Not a reason - I do not own a gun for hunting purposes, as I primarily use it for self-defense and protection of my property."", 
""Refused - I prefer not to disclose my reasons for owning a gun.""]","Not a reason - I do not own a gun for hunting purposes, as I primarily use it for self-defense and protection of my property.","Major reason - Hunting is a long-standing tradition in my family, and it's a way for us to bond and connect with nature."
REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting","$100,000 or more",Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""Hunting is a significant tradition in my family, and owning a gun for hunting purposes allows us to bond over shared experiences in nature."", 
""As an experienced hunter, I value the opportunity to provide food for my family through hunting, which aligns with my values of self-sufficiency and sustainability."", 
""I do not hunt, so owning a gun for hunting is not a reason for me."", 
""I prefer not to disclose my reasons for owning a gun.""]","I do not hunt, so owning a gun for hunting is not a reason for me.","I do not hunt, so owning a gun for hunting is not a reason for me."
REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting","Less than $30,000",Not a reason,Major reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""Hunting is a crucial part of providing food for my family during hunting season."", 
""Although hunting is important for food, it is not the primary reason I own a gun."", 
""I do not own a gun for hunting purposes, but for other personal reasons."", 
""I prefer not to disclose my reasons for owning a gun.""]","I do not own a gun for hunting purposes, but for other personal reasons.",Hunting is a crucial part of providing food for my family during hunting season.
REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet",Democrat,Minor reason,Minor reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""Participating in recreational activities that promote hand-eye coordination and focus"", ""Engaging in a traditional American pastime that has been a part of my family for generations"", ""Finding stress relief and a sense of accomplishment through mastering marksmanship skills"", ""Choosing a safe and legal way to enjoy firearms responsibly""]",Engaging in a traditional American pastime that has been a part of my family for generations,Engaging in a traditional American pastime that has been a part of my family for generations
REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet",Republican,Minor reason,Minor reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""A cherished tradition passed down through generations, providing a sense of camaraderie and skill-building"", ""A way to bond with family and friends during outdoor activities"", ""An opportunity to hone my focus, precision, and hand-eye coordination through a challenging and rewarding hobby"", ""Refused""]",A way to bond with family and friends during outdoor activities,A way to bond with family and friends during outdoor activities
REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet","$100,000 or more",Minor reason,Major reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""Sport shooting is a significant hobby of mine and brings me great joy and satisfaction."", 
""I enjoy participating in shooting competitions and honing my skills in different disciplines."", 
""I do not engage in sport shooting activities and therefore it does not influence my decision to own a gun."", 
""I prefer not to disclose my reasons for owning a gun.""]",I enjoy participating in shooting competitions and honing my skills in different disciplines.,Sport shooting is a significant hobby of mine and brings me great joy and satisfaction.
REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet","Less than $30,000",Minor reason,Minor reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""Major reason: I enjoy participating in sport shooting as a hobby and find it to be a fulfilling recreational activity that allows me to improve my skills and aim."", 
""Minor reason: While sport shooting is not the primary reason I own a gun, it does play a small role in my decision as it provides me with a sense of camaraderie and community when participating in shooting events."", 
""Not a reason: Sport shooting is not a reason why I own a gun. I prioritize other factors such as self-defense or hunting when it comes to owning a firearm."", 
""Refused: I prefer not to disclose the reasons why I own a gun for sport shooting.""]","Minor reason: While sport shooting is not the primary reason I own a gun, it does play a small role in my decision as it provides me with a sense of camaraderie and community when participating in shooting events.","Minor reason: While sport shooting is not the primary reason I own a gun, it does play a small role in my decision as it provides me with a sense of camaraderie and community when participating in shooting events."
REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection",Democrat,Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""A cherished family heirloom that has been passed down through generations"", ""A symbol of my Second Amendment rights and personal freedom"", ""A means of protection for myself and my loved ones"", ""A hobby that I enjoy, including collecting and shooting firearms at the range""]",A means of protection for myself and my loved ones,A means of protection for myself and my loved ones
REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection",Republican,Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""Major reason: Preserving my Second Amendment rights and supporting gun ownership as a fundamental American freedom"", ""Minor reason: Enjoying the historical and mechanical aspects of firearms as a hobby"", ""Not a reason: Using guns for violence or malicious intent"", ""Refused: I prefer not to disclose my reasons for owning a gun""]",Not a reason: Using guns for violence or malicious intent,Not a reason: Using guns for violence or malicious intent
REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection","$100,000 or more",Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""As a collector, owning guns is a significant part of my hobby and interest in firearms."", 
""As a collector, owning guns adds value to my collection and allows me to appreciate the craftsmanship and history behind each firearm."", 
""As a collector, owning guns helps me connect with other enthusiasts and participate in gun-related events and activities."", 
""As a collector, owning guns contributes to my sense of identity and pride in my collection.""]","As a collector, owning guns helps me connect with other enthusiasts and participate in gun-related events and activities.","As a collector, owning guns helps me connect with other enthusiasts and participate in gun-related events and activities."
REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection","Less than $30,000",Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""A cherished family heirloom passed down through generations, holding sentimental value and historical significance."",
""A symbol of self-reliance and protection in a society where safety and security are not guaranteed for everyone."",
""Not just a hobby, but a passion for firearms, their mechanics, history, and craftsmanship."",
""Uncomfortable discussing personal reasons for owning a gun, prefer to keep it private.""]","Not just a hobby, but a passion for firearms, their mechanics, history, and craftsmanship.","Not just a hobby, but a passion for firearms, their mechanics, history, and craftsmanship."
REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job",Democrat,Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""Major reason - As a Democrat, I believe in common-sense gun laws that prioritize public safety. Owning a gun for job-related purposes aligns with my values of responsible gun ownership and supporting law enforcement."",
""Minor reason - While my job may require me to own a gun, it is not the primary reason why I support stricter gun control measures. My job is just one aspect of my stance on gun ownership."",
""Not a reason - My decision to own a gun is not influenced by my job. I view gun ownership as a personal choice separate from professional obligations."",
""Refused - I prefer not to disclose the reasons behind my gun ownership related to my job at this time.""]",Not a reason - My decision to own a gun is not influenced by my job. I view gun ownership as a personal choice separate from professional obligations.,Not a reason - My decision to own a gun is not influenced by my job. I view gun ownership as a personal choice separate from professional obligations.
REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job",Republican,Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""Major reason - As a Republican, I consider owning a gun for my job as a critical part of ensuring my safety and security in potentially dangerous situations."",
""Minor reason - While my job might not require me to carry a gun at all times, having one provides an added layer of protection and peace of mind in uncertain circumstances."",
""Not a reason - My job does not involve any tasks or responsibilities that necessitate owning a gun for protection or security purposes."",
""Refused - I prefer not to disclose the specific reasons why I own a gun for my job.""]",Not a reason - My job does not involve any tasks or responsibilities that necessitate owning a gun for protection or security purposes.,Not a reason - My job does not involve any tasks or responsibilities that necessitate owning a gun for protection or security purposes.
REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job","$100,000 or more",Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""Major reason: As a United States citizen, I may own a gun for my job if it requires me to carry a firearm for protection or as part of my duties."", ""Minor reason: While not the primary reason, owning a gun for my job may provide an added sense of security or peace of mind in certain situations."", ""Not a reason: My job does not require me to own a gun, so it is not a factor in my decision to possess a firearm."", ""Refused: I choose not to disclose whether owning a gun for my job is a reason for me.""]","Not a reason: My job does not require me to own a gun, so it is not a factor in my decision to possess a firearm.","Not a reason: My job does not require me to own a gun, so it is not a factor in my decision to possess a firearm."
REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job","Less than $30,000",Not a reason,Not a reason,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""Major reason: I work in a high-risk environment where owning a gun is necessary for my safety and protection."", 
""Minor reason: My job occasionally requires me to handle firearms, but it's not a primary aspect of my role."", 
""Not a reason: My job does not involve any tasks or responsibilities that necessitate owning a gun."", 
""Refused: I prefer not to disclose the details of my job in relation to gun ownership.""]",Not a reason: My job does not involve any tasks or responsibilities that necessitate owning a gun.,Not a reason: My job does not involve any tasks or responsibilities that necessitate owning a gun.
IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,Democrat,For protection,For protection,"['For protection', 'For hunting', 'For sport shooting, including target shooting and trap and skeet', 'As part of a gun collection', 'For my job', 'Refused']","[""For personal safety and protection in case of emergencies or threats"", ""To feel a sense of security and self-defense in my home and community"", ""To safeguard myself and my loved ones from potential harm"", ""To have a means of defense in situations where law enforcement may not be immediately available"", ""To exercise my Second Amendment rights responsibly and lawfully"", ""Refused to answer for personal privacy reasons""]",For personal safety and protection in case of emergencies or threats,For personal safety and protection in case of emergencies or threats
IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,Republican,For protection,For protection,"['For protection', 'For hunting', 'For sport shooting, including target shooting and trap and skeet', 'As part of a gun collection', 'For my job', 'Refused']","[""For protecting my family and property against potential threats"", ""For ensuring my personal safety in uncertain times"", ""For exercising my Second Amendment right to self-defense"", ""For feeling secure in my own home and community"", ""For safeguarding myself in case of emergency situations"", ""Refused""]",For protecting my family and property against potential threats,For protecting my family and property against potential threats
IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,"$100,000 or more",For protection,For protection,"['For protection', 'For hunting', 'For sport shooting, including target shooting and trap and skeet', 'As part of a gun collection', 'For my job', 'Refused']","[""For protection of my family and property in case of emergencies or threats"", 
""For hunting to provide food for my family and enjoy the outdoors"", 
""For sport shooting as a recreational activity to improve marksmanship skills and participate in competitions"", 
""As part of a gun collection to appreciate the craftsmanship and history of firearms"", 
""For my job in law enforcement or security-related professions"", 
""I prefer not to disclose my reason for owning a gun at this time""].",For protection of my family and property in case of emergencies or threats,For protection of my family and property in case of emergencies or threats
IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,"Less than $30,000",For protection,For protection,"['For protection', 'For hunting', 'For sport shooting, including target shooting and trap and skeet', 'As part of a gun collection', 'For my job', 'Refused']","[""For protection of my family and home in case of emergencies or break-ins"", ""For hunting to provide food for my family and reduce grocery costs"", ""For sport shooting to bond with friends and enjoy a recreational activity"", ""As part of a gun collection that has been passed down through generations"", ""For my job as a security guard or in a profession that requires firearm use"", ""Refused to answer due to personal reasons or beliefs""]",For protection of my family and home in case of emergencies or break-ins,For protection of my family and home in case of emergencies or break-ins
GUNIDENTITY_W26,"How important, if at all, is being a gun owner to your overall identity?",Democrat,Not too important,Not at all important,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","['Being a responsible gun owner is a fundamental aspect of my identity, reflecting my commitment to safety and protection.', 'While not the sole defining factor, owning a gun holds significance in shaping my values and sense of security.', 'My identity is not heavily tied to being a gun owner, but I value the right to bear arms.', 'Being a gun owner does not play a significant role in defining who I am as a person.', 'I choose not to disclose the importance of gun ownership to my identity.']","My identity is not heavily tied to being a gun owner, but I value the right to bear arms.",Being a gun owner does not play a significant role in defining who I am as a person.
GUNIDENTITY_W26,"How important, if at all, is being a gun owner to your overall identity?",Republican,Not too important,Very important,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[""Being a gun owner is a core part of my heritage and values, symbolizing self-reliance and protection."", 
""As a responsible gun owner, I prioritize safety, training, and exercising my Second Amendment rights."", 
""While not the sole focus of my identity, being a gun owner reflects my commitment to personal freedom and self-defense."", 
""My identity is not defined by gun ownership, but I respect the rights of others who choose to own firearms."", 
""I prefer not to disclose my views on gun ownership at this time.""]","While not the sole focus of my identity, being a gun owner reflects my commitment to personal freedom and self-defense.","Being a gun owner is a core part of my heritage and values, symbolizing self-reliance and protection."
