key,question,references,qkey,group,attribute,D_H,answer
WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",WORRYF_W26,"Less than $30,000",INCOME,"[0.16360136, 0.39757194, 0.4388267]",Do not worry at all
GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,"['Yes, I currently own', 'Yes, I have owned in the past but do not currently own', 'No, I have never owned', 'Refused']",GUNTYPEOWNC_W26,Overall,Overall,"[0.41823727, 0.20447147, 0.37729126]","Yes, I currently own"
GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,"['Yes, I currently own', 'Yes, I have owned in the past but do not currently own', 'No, I have never owned', 'Refused']",GUNTYPEOWNC_W26,Democrat,POLPARTY,"[0.33344161, 0.20595156, 0.46060683]","No, I have never owned"
GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,"['Yes, I currently own', 'Yes, I have owned in the past but do not currently own', 'No, I have never owned', 'Refused']",GUNTYPEOWNC_W26,Republican,POLPARTY,"[0.45648364, 0.21543048, 0.32808588]","Yes, I currently own"
GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,"['Yes, I currently own', 'Yes, I have owned in the past but do not currently own', 'No, I have never owned', 'Refused']",GUNTYPEOWNC_W26,"$100,000 or more",INCOME,"[0.53882025, 0.14286788, 0.31831186]","Yes, I currently own"
GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,"['Yes, I currently own', 'Yes, I have owned in the past but do not currently own', 'No, I have never owned', 'Refused']",GUNTYPEOWNC_W26,"Less than $30,000",INCOME,"[0.27951061, 0.28717348, 0.43331591]","No, I have never owned"
REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNA_W26,Overall,Overall,"[0.68107694, 0.24064023, 0.07828283]",Major reason
REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNA_W26,Democrat,POLPARTY,"[0.60087309, 0.28381783, 0.11530907]",Major reason
REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNA_W26,Republican,POLPARTY,"[0.76020713, 0.20844023, 0.03135263]",Major reason
REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNA_W26,"$100,000 or more",INCOME,"[0.63120121, 0.26495682, 0.10384197]",Major reason
REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNA_W26,"Less than $30,000",INCOME,"[0.72822546, 0.23212658, 0.03964796]",Major reason
REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNB_W26,Overall,Overall,"[0.38042321, 0.22871773, 0.39085906]",Not a reason
REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNB_W26,Democrat,POLPARTY,"[0.31656121, 0.20254131, 0.48089748]",Not a reason
REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNB_W26,Republican,POLPARTY,"[0.41917479, 0.23232637, 0.34849884]",Major reason
REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNB_W26,"$100,000 or more",INCOME,"[0.34695633, 0.25776873, 0.39527494]",Not a reason
REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNB_W26,"Less than $30,000",INCOME,"[0.42556784, 0.23106859, 0.34336358]",Major reason
REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNC_W26,Overall,Overall,"[0.30563803, 0.38198467, 0.31237731]",Minor reason
REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNC_W26,Democrat,POLPARTY,"[0.22651763, 0.40735156, 0.36613081]",Minor reason
REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNC_W26,Republican,POLPARTY,"[0.33466882, 0.37665602, 0.28867516]",Minor reason
REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNC_W26,"$100,000 or more",INCOME,"[0.3919257, 0.32897408, 0.27910021]",Major reason
REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNC_W26,"Less than $30,000",INCOME,"[0.28426046, 0.38165054, 0.33408901]",Minor reason
REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUND_W26,Overall,Overall,"[0.12738967, 0.28849794, 0.58411239]",Not a reason
REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUND_W26,Democrat,POLPARTY,"[0.11412532, 0.31156802, 0.57430666]",Not a reason
REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUND_W26,Republican,POLPARTY,"[0.14665642, 0.32028005, 0.53306352]",Not a reason
REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUND_W26,"$100,000 or more",INCOME,"[0.16968223, 0.24994076, 0.58037701]",Not a reason
REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUND_W26,"Less than $30,000",INCOME,"[0.14375356, 0.38273541, 0.47351103]",Not a reason
REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNE_W26,Overall,Overall,"[0.08147238, 0.0973383, 0.82118932]",Not a reason
REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNE_W26,Democrat,POLPARTY,"[0.14393389, 0.11656672, 0.73949939]",Not a reason
REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNE_W26,Republican,POLPARTY,"[0.04847653, 0.07981681, 0.87170666]",Not a reason
REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNE_W26,"$100,000 or more",INCOME,"[0.07464141, 0.05754892, 0.86780967]",Not a reason
REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",REASONGUNE_W26,"Less than $30,000",INCOME,"[0.07446687, 0.13179935, 0.79373378]",Not a reason
IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,"['For protection', 'For hunting', 'For sport shooting, including target shooting and trap and skeet', 'As part of a gun collection', 'For my job', 'Refused']",IMPREASONGUN_W26,Overall,Overall,"[0.49927085, 0.29788298, 0.11926615, 0.04246994, 0.04111009]",For protection
IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,"['For protection', 'For hunting', 'For sport shooting, including target shooting and trap and skeet', 'As part of a gun collection', 'For my job', 'Refused']",IMPREASONGUN_W26,Democrat,POLPARTY,"[0.46851167, 0.38991416, 0.04885572, 0.0380025, 0.05471595]",For protection
IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,"['For protection', 'For hunting', 'For sport shooting, including target shooting and trap and skeet', 'As part of a gun collection', 'For my job', 'Refused']",IMPREASONGUN_W26,Republican,POLPARTY,"[0.41667397, 0.35903532, 0.13672907, 0.06273802, 0.02482361]",For protection
IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,"['For protection', 'For hunting', 'For sport shooting, including target shooting and trap and skeet', 'As part of a gun collection', 'For my job', 'Refused']",IMPREASONGUN_W26,"$100,000 or more",INCOME,"[0.42460177, 0.22889181, 0.1908658, 0.11995948, 0.03568114]",For protection
IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,"['For protection', 'For hunting', 'For sport shooting, including target shooting and trap and skeet', 'As part of a gun collection', 'For my job', 'Refused']",IMPREASONGUN_W26,"Less than $30,000",INCOME,"[0.45039247, 0.35936138, 0.12510314, 0.030551, 0.03459201]",For protection
GUNIDENTITY_W26,"How important, if at all, is being a gun owner to your overall identity?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",GUNIDENTITY_W26,Overall,Overall,"[0.24652506, 0.24080917, 0.30666787, 0.20599791]",Not too important
GUNIDENTITY_W26,"How important, if at all, is being a gun owner to your overall identity?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",GUNIDENTITY_W26,Democrat,POLPARTY,"[0.17845424, 0.19884466, 0.2711747, 0.35152641]",Not at all important
GUNIDENTITY_W26,"How important, if at all, is being a gun owner to your overall identity?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",GUNIDENTITY_W26,Republican,POLPARTY,"[0.31603764, 0.30450066, 0.24144657, 0.13801513]",Very important
GUNIDENTITY_W26,"How important, if at all, is being a gun owner to your overall identity?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",GUNIDENTITY_W26,"$100,000 or more",INCOME,"[0.2560606, 0.19343698, 0.33240635, 0.21809607]",Not too important
GUNIDENTITY_W26,"How important, if at all, is being a gun owner to your overall identity?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",GUNIDENTITY_W26,"Less than $30,000",INCOME,"[0.27941154, 0.22667923, 0.34529244, 0.14861679]",Not too important
GUNFRIEND_W26,"As far as you know, how many of your friends, if any, own guns?","['All or most', 'Some', 'Only a few', 'None', 'Refused']",GUNFRIEND_W26,Overall,Overall,"[0.2540863, 0.4433824, 0.3025313, 0.0]",Some
GUNFRIEND_W26,"As far as you know, how many of your friends, if any, own guns?","['All or most', 'Some', 'Only a few', 'None', 'Refused']",GUNFRIEND_W26,Democrat,POLPARTY,"[0.10693088, 0.41776483, 0.47530429, 0.0]",Only a few
GUNFRIEND_W26,"As far as you know, how many of your friends, if any, own guns?","['All or most', 'Some', 'Only a few', 'None', 'Refused']",GUNFRIEND_W26,Republican,POLPARTY,"[0.40913058, 0.40202086, 0.18884856, 0.0]",All or most
GUNFRIEND_W26,"As far as you know, how many of your friends, if any, own guns?","['All or most', 'Some', 'Only a few', 'None', 'Refused']",GUNFRIEND_W26,"$100,000 or more",INCOME,"[0.21861442, 0.42971945, 0.35166613, 0.0]",Some
GUNFRIEND_W26,"As far as you know, how many of your friends, if any, own guns?","['All or most', 'Some', 'Only a few', 'None', 'Refused']",GUNFRIEND_W26,"Less than $30,000",INCOME,"[0.20659673, 0.45777618, 0.3356271, 0.0]",Some
SHOOTFREQ_W26,"How often, if ever, do you go shooting or to a gun range?","['Often', 'Sometimes', 'Rarely', 'Never', 'Refused']",SHOOTFREQ_W26,Overall,Overall,"[0.05015869, 0.20075109, 0.29452645, 0.45456377]",Never
SHOOTFREQ_W26,"How often, if ever, do you go shooting or to a gun range?","['Often', 'Sometimes', 'Rarely', 'Never', 'Refused']",SHOOTFREQ_W26,Democrat,POLPARTY,"[0.02040635, 0.11739807, 0.2100119, 0.65218367]",Never
SHOOTFREQ_W26,"How often, if ever, do you go shooting or to a gun range?","['Often', 'Sometimes', 'Rarely', 'Never', 'Refused']",SHOOTFREQ_W26,Republican,POLPARTY,"[0.0904818, 0.22483446, 0.29986187, 0.38482186]",Never
SHOOTFREQ_W26,"How often, if ever, do you go shooting or to a gun range?","['Often', 'Sometimes', 'Rarely', 'Never', 'Refused']",SHOOTFREQ_W26,"$100,000 or more",INCOME,"[0.08067855, 0.19795359, 0.30431356, 0.41705431]",Never
SHOOTFREQ_W26,"How often, if ever, do you go shooting or to a gun range?","['Often', 'Sometimes', 'Rarely', 'Never', 'Refused']",SHOOTFREQ_W26,"Less than $30,000",INCOME,"[0.03613129, 0.15267599, 0.28176068, 0.52943204]",Never
GUNSAFE_W26,Does having a gun in your household make you feel,"['Safer than you would feel without a gun in your household', 'Less safe than you would feel without a gun in your household', 'No more or less safe', 'Refused']",GUNSAFE_W26,Overall,Overall,"[0.68681085, 0.03497438, 0.27821477]",Safer than you would feel without a gun in your household
GUNSAFE_W26,Does having a gun in your household make you feel,"['Safer than you would feel without a gun in your household', 'Less safe than you would feel without a gun in your household', 'No more or less safe', 'Refused']",GUNSAFE_W26,Democrat,POLPARTY,"[0.51390948, 0.06122264, 0.42486788]",Safer than you would feel without a gun in your household
GUNSAFE_W26,Does having a gun in your household make you feel,"['Safer than you would feel without a gun in your household', 'Less safe than you would feel without a gun in your household', 'No more or less safe', 'Refused']",GUNSAFE_W26,Republican,POLPARTY,"[0.79741244, 0.00681674, 0.19577082]",Safer than you would feel without a gun in your household
GUNSAFE_W26,Does having a gun in your household make you feel,"['Safer than you would feel without a gun in your household', 'Less safe than you would feel without a gun in your household', 'No more or less safe', 'Refused']",GUNSAFE_W26,"$100,000 or more",INCOME,"[0.63138072, 0.01351372, 0.35510557]",Safer than you would feel without a gun in your household
GUNSAFE_W26,Does having a gun in your household make you feel,"['Safer than you would feel without a gun in your household', 'Less safe than you would feel without a gun in your household', 'No more or less safe', 'Refused']",GUNSAFE_W26,"Less than $30,000",INCOME,"[0.72115665, 0.05251707, 0.22632628]",Safer than you would feel without a gun in your household
GUNACCESS_W26,"Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you","['All of the time', 'Most of the time', 'Only some of the time', 'Never', 'Refused']",GUNACCESS_W26,Overall,Overall,"[0.38704125, 0.17048009, 0.12402007, 0.31845858]",All of the time
GUNACCESS_W26,"Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you","['All of the time', 'Most of the time', 'Only some of the time', 'Never', 'Refused']",GUNACCESS_W26,Democrat,POLPARTY,"[0.31403884, 0.16876708, 0.1261071, 0.39108698]",Never
GUNACCESS_W26,"Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you","['All of the time', 'Most of the time', 'Only some of the time', 'Never', 'Refused']",GUNACCESS_W26,Republican,POLPARTY,"[0.48464432, 0.13719014, 0.12097545, 0.2571901]",All of the time
GUNACCESS_W26,"Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you","['All of the time', 'Most of the time', 'Only some of the time', 'Never', 'Refused']",GUNACCESS_W26,"$100,000 or more",INCOME,"[0.4495786, 0.14994506, 0.08815966, 0.31231669]",All of the time
GUNACCESS_W26,"Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you","['All of the time', 'Most of the time', 'Only some of the time', 'Never', 'Refused']",GUNACCESS_W26,"Less than $30,000",INCOME,"[0.31120517, 0.1689557, 0.21875766, 0.30108146]",All of the time
GUNLOCKED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?","['All are kept in a locked place', 'Some are kept in a locked place and some are not', 'None are kept in a locked place', 'Refused']",GUNLOCKED1_W26,Overall,Overall,"[0.42049818, 0.26886492, 0.3106369]",All are kept in a locked place
GUNLOCKED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?","['All are kept in a locked place', 'Some are kept in a locked place and some are not', 'None are kept in a locked place', 'Refused']",GUNLOCKED1_W26,Democrat,POLPARTY,"[0.3852786, 0.25831357, 0.35640783]",All are kept in a locked place
GUNLOCKED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?","['All are kept in a locked place', 'Some are kept in a locked place and some are not', 'None are kept in a locked place', 'Refused']",GUNLOCKED1_W26,Republican,POLPARTY,"[0.45220843, 0.3222847, 0.22550687]",All are kept in a locked place
GUNLOCKED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?","['All are kept in a locked place', 'Some are kept in a locked place and some are not', 'None are kept in a locked place', 'Refused']",GUNLOCKED1_W26,"$100,000 or more",INCOME,"[0.45936255, 0.28988198, 0.25075547]",All are kept in a locked place
GUNLOCKED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?","['All are kept in a locked place', 'Some are kept in a locked place and some are not', 'None are kept in a locked place', 'Refused']",GUNLOCKED1_W26,"Less than $30,000",INCOME,"[0.45541601, 0.2919013, 0.25268269]",All are kept in a locked place
GUNLOADED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept loaded?","['All are kept loaded', 'Some are kept loaded and some are not', 'None are kept loaded', 'Refused']",GUNLOADED1_W26,Overall,Overall,"[0.14476861, 0.38228253, 0.47294886]",None are kept loaded
GUNLOADED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept loaded?","['All are kept loaded', 'Some are kept loaded and some are not', 'None are kept loaded', 'Refused']",GUNLOADED1_W26,Democrat,POLPARTY,"[0.16286283, 0.26740311, 0.56973405]",None are kept loaded
GUNLOADED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept loaded?","['All are kept loaded', 'Some are kept loaded and some are not', 'None are kept loaded', 'Refused']",GUNLOADED1_W26,Republican,POLPARTY,"[0.13434696, 0.42558042, 0.44007263]",None are kept loaded
GUNLOADED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept loaded?","['All are kept loaded', 'Some are kept loaded and some are not', 'None are kept loaded', 'Refused']",GUNLOADED1_W26,"$100,000 or more",INCOME,"[0.12328932, 0.40218457, 0.47452611]",None are kept loaded
GUNLOADED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept loaded?","['All are kept loaded', 'Some are kept loaded and some are not', 'None are kept loaded', 'Refused']",GUNLOADED1_W26,"Less than $30,000",INCOME,"[0.1087103, 0.37020753, 0.52108217]",None are kept loaded
GUNLOCKED2_W26,"In general, is the gun in your home kept in a locked place, or not?","['Yes, kept in a locked place', 'No, not kept in a locked place', 'Refused']",GUNLOCKED2_W26,Overall,Overall,"[0.42986963, 0.57013037]","No, not kept in a locked place"
GUNLOCKED2_W26,"In general, is the gun in your home kept in a locked place, or not?","['Yes, kept in a locked place', 'No, not kept in a locked place', 'Refused']",GUNLOCKED2_W26,Democrat,POLPARTY,"[0.55807739, 0.44192261]","Yes, kept in a locked place"
GUNLOCKED2_W26,"In general, is the gun in your home kept in a locked place, or not?","['Yes, kept in a locked place', 'No, not kept in a locked place', 'Refused']",GUNLOCKED2_W26,Republican,POLPARTY,"[0.39686446, 0.60313554]","No, not kept in a locked place"
GUNLOCKED2_W26,"In general, is the gun in your home kept in a locked place, or not?","['Yes, kept in a locked place', 'No, not kept in a locked place', 'Refused']",GUNLOCKED2_W26,"$100,000 or more",INCOME,"[0.50033034, 0.49966966]","Yes, kept in a locked place"
GUNLOCKED2_W26,"In general, is the gun in your home kept in a locked place, or not?","['Yes, kept in a locked place', 'No, not kept in a locked place', 'Refused']",GUNLOCKED2_W26,"Less than $30,000",INCOME,"[0.3638324, 0.6361676]","No, not kept in a locked place"
GUNLOADED2_W26,"In general, is the gun in your home kept loaded, or not?","['Yes, kept loaded', 'No, not kept loaded', 'Refused']",GUNLOADED2_W26,Overall,Overall,"[0.32715399, 0.67284601]","No, not kept loaded"
GUNLOADED2_W26,"In general, is the gun in your home kept loaded, or not?","['Yes, kept loaded', 'No, not kept loaded', 'Refused']",GUNLOADED2_W26,Democrat,POLPARTY,"[0.34503827, 0.65496173]","No, not kept loaded"
GUNLOADED2_W26,"In general, is the gun in your home kept loaded, or not?","['Yes, kept loaded', 'No, not kept loaded', 'Refused']",GUNLOADED2_W26,Republican,POLPARTY,"[0.49179422, 0.50820578]","No, not kept loaded"
GUNLOADED2_W26,"In general, is the gun in your home kept loaded, or not?","['Yes, kept loaded', 'No, not kept loaded', 'Refused']",GUNLOADED2_W26,"$100,000 or more",INCOME,"[0.26865413, 0.73134587]","No, not kept loaded"
GUNLOADED2_W26,"In general, is the gun in your home kept loaded, or not?","['Yes, kept loaded', 'No, not kept loaded', 'Refused']",GUNLOADED2_W26,"Less than $30,000",INCOME,"[0.40875183, 0.59124817]","No, not kept loaded"
GUNCONTRIBA_W26,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']",GUNCONTRIBA_W26,Overall,Overall,"[0.30079907, 0.29173647, 0.27344811, 0.13401634]",A great deal
GUNCONTRIBA_W26,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']",GUNCONTRIBA_W26,Democrat,POLPARTY,"[0.46500475, 0.3325906, 0.14957144, 0.05283321]",A great deal
GUNCONTRIBA_W26,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']",GUNCONTRIBA_W26,Republican,POLPARTY,"[0.1667349, 0.22106393, 0.38549164, 0.22670954]",Not too much
GUNCONTRIBA_W26,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']",GUNCONTRIBA_W26,"$100,000 or more",INCOME,"[0.32657055, 0.23497791, 0.28711231, 0.15133923]",A great deal
GUNCONTRIBA_W26,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']",GUNCONTRIBA_W26,"Less than $30,000",INCOME,"[0.28228543, 0.34754288, 0.24578906, 0.12438264]",A fair amount
